OBJECTID;PEID;PGID;Name;NmDisp;NmAlt;ISOalpha3;Ctry;Regn;RegnSub;ROG;AffCd;Aff;PeopleDesc;LocationDesc;Pop;PopCls;EvngLvl;CongExst;Plnting;EngStat;GSEC;GSECbrf;GSEClng;SPI;SPIdesc;LPI;LPIname;LPIdesc;ROL;Lang;LangFamily;LangClass;LangSpkrs;ROR;Rlgn;RlgnAdher;RORdesc;RlgnBs;ROR4;ROR3;RlgnDiv;ROP3;PplNm;ROP25;Ethne;ROP2;PplClstr;ROP1;Affbloc;Bible;Jesus;Radio;Gospel;Audio;Stories;ResTot;LvlBible;YrPub;PicCrdt;PicURL;Photo;Indigenous;Latitude;Longitude;PeopleSearch;UpdatedDate
10678;10655;PG010655;Yate;Yate;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;28000;25,000 - 49,999;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;ino;Inoke-Yate;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Gorokan, Kamano-Yagaria;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;110997;Yate;308967;Yate;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2013;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p16000.jpg;Y;Indigenous;-6.32311;145.53907;Yate of Papua New Guinea (PG010655);2025-05-19T03:04:10.336+00:00
10679;9844;PG009844;Chuave;Chuave;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;57500;50,000 - 99,999;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;cjv;Chuave;Nuclear Trans New Guinea;Trans-New Guinea, Chimbu-Wahgi, Chimbu;100;CPR;Christianity - Protestantism;52;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;102203;Chuave;301780;Chuave;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2013;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11376.jpg;Y;Indigenous;-6.17824;145.13949;Chuave of Papua New Guinea (PG009844);2025-05-19T03:04:22.736+00:00
10680;10027;PG010027;Kanite;Kanite;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;22500;10,000 - 24,999;30% or Greater but Less than 40%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;kmu;Kanite;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Gorokan, Kamano-Yagaria;100;CPR;Christianity - Protestantism;40;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;104582;Kanite;303655;Kanite;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2014;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p12496.jpg;Y;Indigenous;-6.38841;145.55598;Kanite of Papua New Guinea (PG010027);2025-05-19T03:04:32.86+00:00
10681;10304;PG010304;Nii;Nii;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;33500;25,000 - 49,999;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;nii;Nii;Nuclear Trans New Guinea;Trans-New Guinea, Chimbu-Wahgi, Wahgi;100;CPR;Christianity - Protestantism;60;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;107320;Nii;306085;Nii;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2014;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p13394.jpg;Y;Indigenous;-5.838801;144.505892;Nii of Papua New Guinea (PG010304);2025-05-19T03:04:37.256+00:00
10682;9795;PG009795;Binumarien;Binumarien;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;1100;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;bjr;Binumarien;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Kainantu, Tairora;100;CPR;Christianity - Protestantism;46;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;101473;Binumarien;301246;Binumarien;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2018;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10866.jpg;Y;Indigenous;-6.289;146.087;Binumarien of Papua New Guinea (PG009795);2025-05-19T03:04:43.67+00:00
10683;10315;PG010315;Nomane;Nomane;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;14000;10,000 - 24,999;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;nof;Nomane;Nuclear Trans New Guinea;Trans-New Guinea, Chimbu-Wahgi, Chimbu;100;CPR;Christianity - Protestantism;51;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;107382;Nomane;306153;Nomane;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Available;Not Available;Available;Not Available;Available;4;Stories;2023;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p13967.jpg;Y;Indigenous;-6.30218;145.09804;Nomane of Papua New Guinea (PG010315);2025-05-19T03:02:43.25+00:00
10684;9731;PG009731;Awa;Awa;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4200;less than 10,000;30% or Greater but Less than 40%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;awb;Awa (Papua New Guinea);Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Kainantu, Gadsup-Auyana-Awa;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;100639;Awa;300586;Awa (Mobuta);C0152;New Guinea;A010;Pacific Islander Peoples;Available;Available;Not Available;Available;Available;Not Available;4;New Testament;2012;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10501.jpg;Y;Indigenous;-6.65534;145.71416;Awa of Papua New Guinea (PG009731);2025-05-19T03:03:21.606+00:00
10685;10583;PG010583;Waffa;Waffa;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;3800;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;waj;Waffa;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Kainantu, Tairora;100;CPR;Christianity - Protestantism;48;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;110611;Waffa;308659;Waffa;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Available;Not Available;2;New Testament;2015;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p15815.jpg;Y;Indigenous;-6.55783;146.08994;Waffa of Papua New Guinea (PG010583);2025-05-19T03:03:31.256+00:00
10686;9720;PG009720;Asaro;Asaro;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;89500;50,000 - 99,999;30% or Greater but Less than 40%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;aso;Dano;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Gorokan, Gahuku-Benabena;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;100546;Asaro;300523;Asaro;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Available;Not Available;Available;Available;Not Available;4;New Testament;2013;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10446.jpg;Y;Indigenous;-5.92188;145.2539;Asaro of Papua New Guinea (PG009720);2025-05-19T03:03:44.4+00:00
10687;9658;PG009658;Agarabi;Agarabi;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;58500;50,000 - 99,999;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;agd;Agarabi;Nuclear Trans New Guinea;Trans-New Guinea, Kainantu-Goroka, Kainantu, Gadsup-Auyana-Awa;100;CPR;Christianity - Protestantism;40;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;100100;Agarabi;300094;Agarabi;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Available;Not Available;Available;Available;Not Available;4;New Testament;2012;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10171.jpg;Y;Indigenous;-6.20604;145.91695;Agarabi of Papua New Guinea (PG009658);2025-05-19T03:03:51.04+00:00
10688;10081;PG010081;Komutu;Komutu;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;1600;less than 10,000;40% or Greater but Less than 50%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;klt;Nukna;Nuclear Trans New Guinea;Trans-New Guinea, Finisterre-Huon, Finisterre, Uruwa;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;105159;Komutu;304160;Komutu;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Not Available;Not Available;1;Selections;2023;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p12769.jpg;Y;Indigenous;-6.0177;146.9685;Komutu of Papua New Guinea (PG010081);2025-05-19T03:04:21.143+00:00
10689;10657;PG010657;Yau, Sindamon;Sindamon Yau;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4600;less than 10,000;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;yuw;Yau (PNG, Morobe Province);Nuclear Trans New Guinea;Trans-New Guinea, Finisterre-Huon, Finisterre, Uruwa;100;CPR;Christianity - Protestantism;34;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;111000;Yau, Sindamon;308970;Yau, Sindamon;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Available;Not Available;2;New Testament;1997;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p16002.jpg;Y;Indigenous;-6.0536;146.7877;Sindamon Yau of Papua New Guinea (PG010657);2025-05-19T03:04:46.986+00:00
10690;9899;PG009899;Fasu;Fasu;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4200;less than 10,000;10% or Greater but Less than 15%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;faa;Fasu;;Trans-New Guinea, West Kutubu;100;CPR;Christianity - Protestantism;35;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;103005;Fasu;302408;Fasu;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2013;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11191.jpg;Y;Indigenous;-6.62687;143.28359;Fasu of Papua New Guinea (PG009899);2025-05-19T03:02:39.42+00:00
10691;10434;PG010434;Sepik Iwam;Sepik Iwam;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;7400;less than 10,000;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;iws;Iwam, Sepik;Sepik;Sepik, Iwam;100;CPR;Christianity - Protestantism;52;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;108852;Sepik Iwam;307390;Sepik;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2014;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p14860.jpg;Y;Indigenous;-4.30928;142.11683;Sepik Iwam of Papua New Guinea (PG010434);2025-05-19T03:02:50.73+00:00
10692;10505;PG010505;Tanguat;Tanguat;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;1500;less than 10,000;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;tbs;Tanguat;Ramu;Ramu-Lower Sepik, Ramu, Tanggu;100;CPR;Christianity - Protestantism;48;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;109824;Tanguat;307947;Tanguat;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Available;Not Available;2;Selections;2019;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p15255.jpg;Y;Indigenous;-4.57282;144.92706;Tanguat of Papua New Guinea (PG010505);2025-05-19T03:02:50.746+00:00
10693;9998;PG009998;Iwal;Iwal;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;3500;less than 10,000;40% or Greater but Less than 50%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;kbm;Iwal;Austronesian;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, South, Kaiwa;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;104126;Iwal;303282;Iwal;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2014;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p12297.jpg;Y;Indigenous;-7.20938;146.98309;Iwal of Papua New Guinea (PG009998);2025-05-19T03:03:14.796+00:00
10694;9915;PG009915;Gamei;Gamei;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4200;less than 10,000;40% or Greater but Less than 50%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;gai;Mbore;Ramu;Ramu-Lower Sepik, Ramu, Ottilien, Borei;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;103173;Gamei;302530;Gamei;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2017;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11812.jpg;Y;Indigenous;-4.08697;144.71548;Gamei of Papua New Guinea (PG009915);2025-05-19T03:03:44.1+00:00
10695;9906;PG009906;Gabadi;Gabadi;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4300;less than 10,000;40% or Greater but Less than 50%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;kbt;Abadi;Austronesian;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, West Central Papuan, Gabadi;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;103101;Gabadi;302471;Gabadi;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Not Available;Not Available;1;Selections;2016;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11789.jpg;Y;Indigenous;-9.02911;146.95409;Gabadi of Papua New Guinea (PG009906);2025-05-19T03:03:46.49+00:00
10696;9692;PG009692;Angaatiha;Angaatiha;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4600;less than 10,000;20% or Greater but Less than 30%;Yes;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;6;Significantly Reached People Group;> 20% Evangelical;agm;Angaataha;Angan;Trans-New Guinea, Angan, Angaatiha;100;CPR;Christianity - Protestantism;40;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;100343;Angaatiha;300316;Angaatiha (Langimar);C0152;New Guinea;A010;Pacific Islander Peoples;Available;Available;Not Available;Not Available;Available;Not Available;3;New Testament;2004;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10319.jpg;Y;Indigenous;-7.15012;146.35192;Angaatiha of Papua New Guinea (PG009692);2025-05-19T03:03:54.31+00:00
10697;10646;PG010646;Yamap;Yamap;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;3500;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;ymp;Yamap;Austronesian;Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, South, Hote-Buang, Hote;100;CPR;Christianity - Protestantism;43;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;110954;Yamap;308922;Yamap;C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Not Available;Not Available;Available;2;Stories;2021;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p15970.jpg;Y;Indigenous;-7.05687;146.81725;Yamap of Papua New Guinea (PG010646);2025-05-19T03:03:58.893+00:00
10698;9778;PG009778;Biangai;Biangai;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;an indigenous ethnic group of Papua New Guinea;None;4000;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;big;Biangai;Kunimaipan;Trans-New Guinea, Southeast Papuan, Goilalan, Kunimaipa;100;CPR;Christianity - Protestantism;38;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;101406;Biangai;301188;Biangai (Yongolei);C0152;New Guinea;A010;Pacific Islander Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;New Testament;2013;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p10827.jpg;Y;Indigenous;-7.33882;146.76483;Biangai of Papua New Guinea (PG009778);2025-05-19T03:04:21.953+00:00
